390;359;390,300,391,301,303,311,305,358,359;390,300,391,301,302,303,311,305,358,359;390,300,391,301,303,304,311,305,358,359;390,300,391,301,303,304,362,361,360,359;390,300,391,301,302,303,304,311,305,358,359;390,300,391,301,302,303,304,362,361,360,359;390,300,391,301,303,311,304,362,361,360,359
359;390;359,358,305,311,303,301,391,300,390;359,358,305,311,303,302,301,391,300,390;359,358,305,311,304,303,301,391,300,390;359,360,361,362,304,303,301,391,300,390;359,358,305,311,304,303,302,301,391,300,390;359,360,361,362,304,303,302,301,391,300,390;359,360,361,362,304,311,303,301,391,300,390
390;360;390,300,391,301,303,304,362,361,360;390,300,391,301,302,303,304,362,361,360;390,300,391,301,303,311,304,362,361,360;390,300,391,301,303,311,305,358,359,360;390,300,391,301,302,303,311,304,362,361,360;390,300,391,301,302,303,311,305,358,359,360;390,300,391,301,303,304,311,305,358,359,360
360;390;360,361,362,304,303,301,391,300,390;360,359,358,305,311,303,301,391,300,390;360,361,362,304,303,302,301,391,300,390;360,361,362,304,311,303,301,391,300,390;360,359,358,305,311,303,302,301,391,300,390;360,359,358,305,311,304,303,301,391,300,390;360,361,362,304,311,303,302,301,391,300,390
390;361;390,300,391,301,303,304,362,361;390,300,391,301,302,303,304,362,361;390,300,391,301,303,311,304,362,361;390,300,391,301,302,303,311,304,362,361
361;390;361,362,304,303,301,391,300,390;361,362,304,303,302,301,391,300,390;361,362,304,311,303,301,391,300,390;361,362,304,311,303,302,301,391,300,390
390;362;390,300,391,301,303,304,362;390,300,391,301,302,303,304,362;390,300,391,301,303,311,304,362;390,300,391,301,302,303,311,304,362
362;390;362,304,303,301,391,300,390;362,304,303,302,301,391,300,390;362,304,311,303,301,391,300,390;362,304,311,303,302,301,391,300,390
390;363;390,300,391,301,303,304,363;390,300,391,301,302,303,304,363;390,300,391,301,303,311,304,363;390,300,391,301,302,303,311,304,363
363;390;363,304,303,301,391,300,390;363,304,303,302,301,391,300,390;363,304,311,303,301,391,300,390;363,304,311,303,302,301,391,300,390
391;350;391,300,390,306,308,309,350;391,300,390,306,307,308,309,350
350;391;350,309,308,306,390,300,391;350,309,308,307,306,390,300,391
391;351;391,300,390,306,308,309,351;391,300,390,306,307,308,309,351
351;391;351,309,308,306,390,300,391;351,309,308,307,306,390,300,391
391;352;391,300,390,306,308,309,351,352;391,300,390,306,307,308,309,351,352
352;391;352,351,309,308,306,390,300,391;352,351,309,308,307,306,390,300,391
391;353;391,300,390,306,308,309,351,352,353;391,300,390,306,307,308,309,351,352,353;391,300,390,306,308,309,310,355,354,353;391,300,390,306,307,308,309,310,355,354,353
353;391;353,352,351,309,308,306,390,300,391;353,352,351,309,308,307,306,390,300,391;353,354,355,310,309,308,306,390,300,391;353,354,355,310,309,308,307,306,390,300,391
391;354;391,300,390,306,308,309,310,355,354;391,300,390,306,307,308,309,310,355,354;391,300,390,306,308,309,351,352,353,354;391,300,390,306,307,308,309,351,352,353,354
354;391;354,355,310,309,308,306,390,300,391;354,353,352,351,309,308,306,390,300,391;354,355,310,309,308,307,306,390,300,391;354,353,352,351,309,308,307,306,390,300,391
391;355;391,300,390,306,308,309,310,355;391,300,390,306,307,308,309,310,355
355;391;355,310,309,308,306,390,300,391;355,310,309,308,307,306,390,300,391
391;356;391,300,390,306,308,309,310,356;391,300,390,306,307,308,309,310,356
356;391;356,310,309,308,306,390,300,391;356,310,309,308,307,306,390,300,391
391;357;391,301,303,311,305,357;391,301,302,303,311,305,357;391,301,303,304,311,305,357;391,301,302,303,304,311,305,357
357;391;357,305,311,303,301,391;357,305,311,303,302,301,391;357,305,311,304,303,301,391;357,305,311,304,303,302,301,391
391;358;391,301,303,311,305,358;391,301,302,303,311,305,358;391,301,303,304,311,305,358;391,301,302,303,304,311,305,358
358;391;358,305,311,303,301,391;358,305,311,303,302,301,391;358,305,311,304,303,301,391;358,305,311,304,303,302,301,391
391;359;391,301,303,311,305,358,359;391,301,302,303,311,305,358,359;391,301,303,304,311,305,358,359;391,301,303,304,362,361,360,359;391,301,302,303,304,311,305,358,359;391,301,302,303,304,362,361,360,359;391,301,303,311,304,362,361,360,359
359;391;359,358,305,311,303,301,391;359,358,305,311,303,302,301,391;359,358,305,311,304,303,301,391;359,360,361,362,304,303,301,391;359,358,305,311,304,303,302,301,391;359,360,361,362,304,303,302,301,391;359,360,361,362,304,311,303,301,391
391;360;391,301,303,304,362,361,360;391,301,302,303,304,362,361,360;391,301,303,311,304,362,361,360;391,301,303,311,305,358,359,360;391,301,302,303,311,304,362,361,360;391,301,302,303,311,305,358,359,360;391,301,303,304,311,305,358,359,360
360;391;360,361,362,304,303,301,391;360,359,358,305,311,303,301,391;360,361,362,304,303,302,301,391;360,361,362,304,311,303,301,391;360,359,358,305,311,303,302,301,391;360,359,358,305,311,304,303,301,391;360,361,362,304,311,303,302,301,391
391;361;391,301,303,304,362,361;391,301,302,303,304,362,361;391,301,303,311,304,362,361;391,301,302,303,311,304,362,361
361;391;361,362,304,303,301,391;361,362,304,303,302,301,391;361,362,304,311,303,301,391;361,362,304,311,303,302,301,391
391;362;391,301,303,304,362;391,301,302,303,304,362;391,301,303,311,304,362;391,301,302,303,311,304,362
362;391;362,304,303,301,391;362,304,303,302,301,391;362,304,311,303,301,391;362,304,311,303,302,301,391
391;363;391,301,303,304,363;391,301,302,303,304,363;391,301,303,311,304,363;391,301,302,303,311,304,363
363;391;363,304,303,301,391;363,304,303,302,301,391;363,304,311,303,301,391;363,304,311,303,302,301,391
